name,number_of_routes
Air Rarotonga,13
Air Atlanta Icelandic,13
Dennis Sky,13
Air North Charter - Canada,13
Amerijet International,13
Avient Aviation,12
BusinessAir,12
Aerolineas Galapagos (Aerogal),12
Air Dolomiti,12
Eagle Atlantic Airlines,12
Air Zimbabwe,12
Express One International,12
Belair Airlines,12
Georgian National Airlines,12
Virgin Pacific,12
Fly Colombia ( Interliging Flights ),12
Air Lituanica,12
Israir,12
MIAT Mongolian Airlines,12
Maxair,12
FlyLal,11
Hello,10
Pacific Wings,10
Nationwide Airlines,10
VRG Linhas Aereas,10
Air Iceland,10
Air Tindi,10
Air Choice One,10
bmibaby,10
Sharp Airlines,10
LAN Argentina,10
Zoom Airlines,10
Air Seychelles,10
Canadian National Airways,10
Saratov Aviation Division,10
Air Bosna,10
Air Salone,10
All America,10
Air Arabia Egypt,10
Star1 Airlines,10
Royal Falcon,9
Atlantic Airways,9
Orenburg Airlines,9
Starbow Airlines,8
Astair,8
Air Koryo,8
Viking Hellas,8
Mongolian International Air Lines ,8
Arrow Air,8
Nepal Airlines,8
Hawkair,8
Overland Airways,8
Far Eastern Air Transport,8
Catovair,8
Excel Airways,8
Chicago Express,8
Nauru Air Corporation,8
Zambia Skyways,8
Flightlink Tanzania,8
ALAK,8
IzAvia,8
VivaColombia,7
Island Air (WP),6
Star Flyer,6
Orient Thai Airlines,6
PAN Air,6
Tiara Air,6
Myway Airlines,6
Motor Sich,6
ABSA - Aerolinhas Brasileiras,6
Hankook Airline,6
City Airways,6
Air Nippon,6
Yangon Airways,6
Air Saint Pierre,6
Asian Wings Airways,6
LSM Airlines,6
Valuair,6
Salmon Air,6
Santa Barbara Airlines,6
Carpatair,6
BVI Airways,6
Daallo Airlines,6
Fly One,5
Zip,5
Rossiya-Russian Airlines,5
Kam Air,5
40-Mile Air,4
Berjaya Air,4
Benin Golf Air,4
Apache Air,4
Aero-Service,4
Atlantis European Airways,4
East African,4
Estafeta Carga Aerea,4
TransHolding System,4
FlyNordic,4
Albanian Airlines,4
Omni Air International,4
Omskavia Airline,4
PB Air,4
Air Italy,4
Asia Wings,4
Pal airlines,4
Compagnie Africaine d\\'Aviation,4
Starline.kz,4
Cameroon Airlines,4
Abaet,3
Air Sinai,2
Aeroline GmbH,2
Boutique Air (Priv),2
Alaska Central Express,2
International AirLink,2
Air Europe,2
Askari Aviation,2
Papillon Grand Canyon Helicopters,2
China United Airlines,2
Chitaavia,2
Eagle Air,2
SOCHI AIR CHATER,2
Helijet,2
Hex'Air,2
Interair South Africa,2
SENIC AIRLINES,2
Reem Air,2
Sibaviatrans,2
Fly 6ix,2
Skyservice Airlines,2
Gabon Airlines,2
SmartLynx Airlines,2
Eurowings,1
